"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 15:30:26 GMT 2024","Tue Oct 22 15:30:27 GMT 2024","389","tests.api","test_api","TestEntityAPI","","","Test get all entities","Verify that all entities can be retrieved"
"passed","Tue Oct 22 15:30:22 GMT 2024","Tue Oct 22 15:30:22 GMT 2024","384","tests.api","test_api","TestEntityAPI","","","Test create entity","Verify that an entity can be created successfully"
"passed","Tue Oct 22 15:30:34 GMT 2024","Tue Oct 22 15:30:39 GMT 2024","4325","tests.ui","test_add_customer","TestAddCustomer","","","test_add_customer","Test adding a new customer with valid data."
"passed","Tue Oct 22 15:30:31 GMT 2024","Tue Oct 22 15:30:32 GMT 2024","1147","tests.api","test_api","TestEntityAPI","","","Test delete entity","Verify that an entity can be deleted successfully"
"passed","Tue Oct 22 15:30:40 GMT 2024","Tue Oct 22 15:30:41 GMT 2024","668","tests.ui","test_customer_list","TestCustomerList","","","test_sort_customers_by_first_name[ascending]","Test sorting customers by first name in the specified order."
"passed","Tue Oct 22 15:30:41 GMT 2024","Tue Oct 22 15:30:42 GMT 2024","598","tests.ui","test_delete_customers","TestDeleteCustomer","","","test_delete_customer_with_average_name_length","Test deleting a customer with an average name length."
"passed","Tue Oct 22 15:30:23 GMT 2024","Tue Oct 22 15:30:24 GMT 2024","374","tests.api","test_api","TestEntityAPI","","","Test get entity","Verify that a specific entity can be retrieved"
"passed","Tue Oct 22 15:30:29 GMT 2024","Tue Oct 22 15:30:29 GMT 2024","763","tests.api","test_api","TestEntityAPI","","","Test update entity","Verify that an entity can be updated successfully"
"passed","Tue Oct 22 15:30:39 GMT 2024","Tue Oct 22 15:30:40 GMT 2024","621","tests.ui","test_customer_list","TestCustomerList","","","test_sort_customers_by_first_name[descending]","Test sorting customers by first name in the specified order."
