"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 12:15:14 GMT 2024","Thu Oct 03 12:15:15 GMT 2024","915","tests.api","test_api","TestEntityAPI","","","Test delete entity","Verify that an entity can be deleted successfully"
"passed","Thu Oct 03 12:15:07 GMT 2024","Thu Oct 03 12:15:07 GMT 2024","307","tests.api","test_api","TestEntityAPI","","","Test create entity","Verify that an entity can be created successfully"
"passed","Thu Oct 03 12:15:11 GMT 2024","Thu Oct 03 12:15:11 GMT 2024","306","tests.api","test_api","TestEntityAPI","","","Test get all entities","Verify that all entities can be retrieved"
"passed","Thu Oct 03 12:15:08 GMT 2024","Thu Oct 03 12:15:08 GMT 2024","311","tests.api","test_api","TestEntityAPI","","","Test get entity","Verify that a specific entity can be retrieved"
"passed","Thu Oct 03 12:15:12 GMT 2024","Thu Oct 03 12:15:13 GMT 2024","614","tests.api","test_api","TestEntityAPI","","","Test update entity","Verify that an entity can be updated successfully"
