"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 11:57:30 GMT 2024","Thu Oct 03 11:57:31 GMT 2024","391","tests.api","test_api","TestEntityAPI","","","Test get entity","Verify that a specific entity can be retrieved"
"passed","Thu Oct 03 11:57:34 GMT 2024","Thu Oct 03 11:57:34 GMT 2024","383","tests.api","test_api","TestEntityAPI","","","Test get all entities","Verify that all entities can be retrieved"
"passed","Thu Oct 03 11:57:38 GMT 2024","Thu Oct 03 11:57:39 GMT 2024","1241","tests.api","test_api","TestEntityAPI","","","Test delete entity","Verify that an entity can be deleted successfully"
"passed","Thu Oct 03 11:57:29 GMT 2024","Thu Oct 03 11:57:29 GMT 2024","379","tests.api","test_api","TestEntityAPI","","","Test create entity","Verify that an entity can be created successfully"
"passed","Thu Oct 03 11:57:36 GMT 2024","Thu Oct 03 11:57:37 GMT 2024","760","tests.api","test_api","TestEntityAPI","","","Test update entity","Verify that an entity can be updated successfully"
