"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 25 01:05:54 GMT 2024","Wed Sep 25 01:05:54 GMT 2024","0","tests.api","test_api","TestEntityAPI","","","Test create entity","Verify that an entity can be created successfully"
"broken","Wed Sep 25 01:06:20 GMT 2024","Wed Sep 25 01:06:20 GMT 2024","0","tests.api","test_api","TestEntityAPI","","","Test get entity","Verify that a specific entity can be retrieved"
"broken","Wed Sep 25 01:06:46 GMT 2024","Wed Sep 25 01:06:46 GMT 2024","3","tests.api","test_api","TestEntityAPI","","","Test get all entities","Verify that all entities can be retrieved"
